,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
59,Dallas Goedert,144.7,70,109,94.77272727,70.10276578,PHI,TE,79,206.8356766
60,Kareem Hunt,101.4,181,88,43.04761905,53.42375743,CLE,RB,79.8,189.2905728
61,Devin Singletary,147.9,106,158,79,71.40675566,BUF,RB,80,216.294566
62,Rashaad Penny,75.3,3,116,63.22834646,44.21088423,SEA,RB,81.3,198.5368811
63,Hunter Renfrow,133.5,76,156,77.27272727,74.13520734,LVR,WR,81.3,222.5907218
64,Tony Pollard,87.2,93,124,90.17045455,80.65102399,DAL,RB,84.5,205.4086502
65,Elijah Moore,0,0,95,54.81666667,18.27222222,NYJ,WR,85.3,195.5812847
66,DeAndre Hopkins,266.54,173,105,54.71698113,69.08722086,ARI,WR,85.5,196.9557972
67,Rashod Bateman,0,0,58,54.31578947,18.10526316,BAL,WR,86.5,185.4974533
68,Cordarrelle Patterson,29.6,48,183,84.82882883,79.32540604,ATL,RB,87,221.529557
69,Chase Edmonds,82.8,115,100,64.26035503,71.3196466,ARI,RB,89,194.8753721
70,DeVonta Smith,0,0,122,93.19642857,31.06547619,PHI,WR,90.5,206.4817483
71,Dawson Knox,79.7,43,115,75,67.69457014,BUF,TE,90.5,200.9251389
72,Zach Ertz,213.6,42,107,70.55913978,55.59976641,2TM,TE,97,196.8218698
73,Rhamondre Stevenson,0,0,101,58.33112583,19.44370861,NWE,RB,97.5,188.1868363
74,Tyler Lockett,235.2,165,168,105.9555556,89.22273308,SEA,WR,98.8,215.7956065
75,Brandon Aiyuk,0,125,114,102.9714286,55.65714286,SFO,WR,98.8,202.5432489
76,Robert Woods,232.9,155,92,47.92105263,70.0740079,LAR,WR,105.3,183.1776532
77,Michael Carter,0,0,118,67.08910891,22.3630363,NYJ,RB,108.5,189.4356834
78,Allen Lazard,102.8,65,103,82.95,78.2360614,GNB,WR,110.8,189.1536669
79,James Robinson,0,201,143,66.46666667,44.30666667,JAX,RB,111.8,195.1934311
80,Christian Kirk,166.2,98,131,94.25555556,74.38820058,ARI,WR,112.8,197.9983434
81,Mike Gesicki,136,106,92,71.85945946,71.54632086,MIA,TE,113.5,184.6537997
82,Russell Gage,98.8,109,97,67.725,66.02071711,ATL,WR,113.8,186.461468
83,Ronald Jones II,0,158,69,69.61403509,46.15909432,TAM,RB,114,174.4158942
84,Alexander Mattison,68.4,74,94,66.86705202,65.3152668,MIN,RB,115.3,183.0117455
85,Chase Claypool,0,153,108,87.62195122,57.27749251,PIT,WR,116,190.2463544
86,Kadarius Toney,0,0,43,44.375,14.79166667,NYG,WR,121.8,162.299094
87,Pat Freiermuth,0,0,92,58.01438849,19.3381295,PIT,TE,122,179.2968543
88,Nyheim Hines,105.9,130,73,88.61061947,82.88636811,IND,RB,132.3,171.6383833
89,Tyler Boyd,222.9,114,117,84.9689441,76.04100191,CIN,WR,139.5,180.5624436
90,Raheem Mostert,165.2,84,2,10,50.34422457,SFO,RB,141,134.4892934
91,Jarvis Landry,237.4,116,81,53.00719424,71.06909439,CLE,WR,141.3,165.775781
92,Marquez Valdes-Scantling,84.1,104,61,58.80246914,89.10353307,GNB,WR,141.8,157.2591125
93,J.D. McKissic,83.8,111,85,66.76237624,77.69515105,WAS,RB,144.5,165.7068319
94,Marlon Mack,179.3,6,11,19.81818182,30.1489899,IND,RB,145,136.4652704
95,Cole Kmet,0,34,61,68,40.59259259,CHI,TE,145.3,161.1767707
96,Kenneth Gainwell,0,0,90,74.57627119,24.85875706,PHI,RB,147.3,166.096852
97,Albert Okwuegbunam,0,18,43,63.67123288,27.48015455,DEN,TE,148.3,153.5434961
98,Kenny Golladay,248,46,52,64.54867257,67.80224204,NYG,WR,150.5,154.5716896
99,DeVante Parker,246.2,103,64,45.75221239,69.94969329,MIA,WR,151.5,154.3133989
100,Jakobi Meyers,61.9,84,103,71.33492823,75.16935419,NWE,WR,153.3,170.8320641
101,Julio Jones,274.1,95,49,55.06329114,65.15219167,TEN,WR,156.5,148.2684983
102,Khalil Herbert,0,0,65,75.85714286,25.28571429,CHI,RB,160.3,151.742282
103,Michael Gallup,212.7,114,57,41.4742268,70.41873782,DAL,WR,160.5,146.679819
104,Jamaal Williams,146.3,96,94,54.65745856,62.8391688,DET,RB,162.5,155.9754015
105,Mecole Hardman,113.5,87,82,88.71126761,105.0362004,KAN,WR,164.5,161.0812081
106,Rondale Moore,0,0,55,60.74576271,20.24858757,ARI,WR,165.8,148.0774701
107,Hunter Henry,148.2,85,114,83.232,66.62424082,NWE,TE,168.5,164.5574131
108,Noah Fant,111,87,91,68.25316456,72.38140584,DEN,TE,172.8,156.0709203
109,Darrel Williams,67.8,37,149,86.09950249,72.96650083,KAN,RB,173.5,171.0222121
110,Sony Michel,152.6,68,125,68.98755187,62.49192088,LAR,RB,175,160.4616242
111,David Njoku,15.1,33,72,86.29213483,51.9071005,CLE,TE,175.5,148.8987048
112,D'Onta Foreman,0,16,85,43.25,23.19927536,TEN,RB,180,142.937337
113,Van Jefferson,0,28,118,101.2661871,57.22206235,LAR,WR,182.3,162.6701326
114,Sammy Watkins,136.5,50,43,67.56578947,60.56704107,BAL,WR,183,135.0091972
115,Robert Tonyan,26,125,32,35.06382979,55.18596128,GNB,TE,185.3,123.807647
116,Corey Davis,115.1,126,71,48,72.31667046,NYJ,WR,189,137.4620211
117,Gerald Everett,89.8,52,70,67.83783784,62.72811657,SEA,TE,194.5,138.6435983
118,Evan Engram,109.4,78,57,51.42857143,49.64728682,NYG,TE,195.3,130.818069
119,Cameron Brate,91.1,40,49,48.65517241,59.11003679,TAM,TE,196.5,128.118347
120,Kenyan Drake,212.2,167,73,63.84466019,64.63013728,LVR,RB,197.3,133.8725247
121,Chuba Hubbard,0,0,113,64.42105263,21.47368421,CAR,RB,201.3,143.1033022
122,K.J. Osborn,0,0,109,86.54545455,28.84848485,MIN,WR,204,147.3869203
123,Curtis Samuel,171.7,135,4,12.66666667,60.19388419,WAS,WR,206,102.5138336
124,Tyler Higbee,160.4,84,86,58.04794521,68.00863834,LAR,TE,209.3,134.3222807
125,Jamison Crowder,197.7,113,59,44.16393443,56.63374391,NYJ,WR,209.7,123.8925379
126,Donovan Peoples-Jones,0,44,76,91.30434783,66.43478261,CLE,WR,210,135.9516903
127,Hayden Hurst,76.9,93,38,51.0877193,65.53004492,ATL,TE,212.7,117.1121112
128,Trey Sermon,0,0,25,38.8,12.93333333,SFO,RB,216,108.1882245
129,Kyle Rudolph,111.7,37,34,63.50769231,64.65051577,NYG,TE,217,113.5309642
130,Mike Davis,11.9,148,94,66.43877551,53.24554928,ATL,RB,218.5,132.8040592
131,Odell Beckham Jr.,0,64,85,61.77777778,34.55723906,2TM,WR,222,128.8954304
132,D'Ernest Johnson,15.2,18,85,91.664,101.1066732,CLE,RB,222.3,129.6793152
133,Austin Hooper,189.7,68,55,56.24242424,55.12558221,CLE,TE,224.3,116.2036618
134,Boston Scott,96.9,71,86,71.9223301,70.14269241,PHI,RB,231.5,122.1337556
135,Devin Duvernay,0,33,50,64.8,53.02028986,BAL,WR,232.5,113.3402307
136,KJ Hamler,0,60,7,14.8,26.29767442,DEN,WR,233,92.55837183
137,Brevin Jordan,0,0,36,33.9375,11.3125,HOU,TE,233,104.3293314
138,Logan Thomas,39.3,105,36,27.76744186,50.302767,WAS,TE,233.5,101.2442889
139,Myles Gaskin,31.4,123,125,61.44491525,46.70573454,MIA,RB,234,133.8468928
140,Isaiah McKenzie,63.3,70,33,74.02173913,72.37088274,BUF,WR,235.7,106.8954759
141,Cedrick Wilson Jr.,0,35,103,93.43396226,52.3594689,DAL,WR,240,128.3501288
142,Nico Collins,0,0,51,67.29032258,22.43010753,HOU,WR,241.3,109.5187064
143,Samaje Perine,1.6,55,56,82.60465116,61.3126615,CIN,RB,245.3,110.6076599
144,Marquez Callaway,0,21,106,92.06153846,46.95801282,NOR,WR,246,127.9440236
145,A.J. Green,0,64,103,93.26027397,49.62980435,ARI,WR,247.7,125.1572661
146,Laviska Shenault Jr.,0,99,64,64.78527607,45.30312122,JAX,WR,248.5,113.4649758
147,Matt Breida,103.3,33,36,51.42857143,59.69708003,BUF,RB,248.7,98.99437073
148,C.J. Uzomah,63.2,15,79,71.14285714,46.22489058,CIN,TE,249,114.7421583
149,Phillip Lindsay,197.7,59,41,44.55913978,53.40696816,2TM,RB,249,99.69271661
150,Ke'Shawn Vaughn,0,18,33,56.72727273,32.24242424,TAM,RB,251,96.55333523
151,Damien Williams,141.1,0,45,51.42857143,34.93114543,CHI,RB,252,97.34073207
152,Parris Campbell,38.1,9,22,32.6,23.73333333,IND,WR,253,88.80127525
153,Kendrick Bourne,95.8,81,126,126.48,95.51728411,NWE,WR,254,131.6878232
154,Terrace Marshall Jr.,0,0,16,38.17021277,12.72340426,CAR,WR,254,89.05975674
155,Amari Rodgers,0,0,6,74.66666667,24.88888889,GNB,WR,255,90.75601975
156,Jerick McKinnon,0,93,23,69.0625,47.29379921,KAN,RB,255.7,93.36541603
157,Sterling Shepard,139.8,97,42,28.15730337,43.06525497,NYG,WR,256,93.22024556
158,Jalen Guyton,0,69,66,98.2278481,65.77072848,LAC,WR,257,110.2135378
159,Dontrell Hilliard,38.1,5,54,42.82926829,49.77642276,TEN,RB,259,96.21796845
160,Adam Trautman,0,23,36,49.21428571,44.14669739,NOR,TE,262,93.69723115
161,James Washington,133.5,69,42,66.17647059,76.43704308,PIT,WR,267,94.55750463
162,Demarcus Robinson,100.9,63,44,68.77272727,74.74563942,KAN,WR,271,93.08805371
163,Chris Evans,0,0,35,94.70588235,31.56862745,CIN,RB,276,91.27192433
164,Eno Benjamin,0,0,22,35.34146341,11.7804878,ARI,RB,280.5,76.47030727
165,Foster Moreau,68.4,26,55,86.37837838,92.98844497,LVR,TE,282,92.51411393
166,Ricky Seals-Jones,58.9,0,39,44.92405063,45.17838725,WAS,TE,283,83.07156153
167,Josh Reynolds,61.9,72,52,61.23076923,74.63957972,2TM,WR,291,84.82712009
168,Mo Alie-Cox,17.3,49,56,78.84057971,80.67117068,IND,TE,291.5,88.06235253
169,Randall Cobb,154.9,62,66,68.23880597,70.46281736,GNB,WR,294,89.37763461
170,Rashard Higgins,15.5,84,34,58.30985915,61.24061472,CLE,WR,298,75.72254726
171,O.J. Howard,83.9,27,20,66.05714286,53.2711549,TAM,TE,299,72.30372457
172,Rex Burkhead,101.1,83,79,64,61.63624595,HOU,RB,299.5,87.72685951
173,David Johnson,141.5,147,49,54.14678899,61.20214075,HOU,RB,300,78.23804927
174,Josiah Deguara,0,1,37,68.13793103,25.37931034,GNB,TE,301,77.57277089
175,Zay Jones,48.9,23,59,79.91452991,66.16023546,LVR,WR,305,83.87737362
176,Jauan Jennings,0,0,58,74.06451613,24.68817204,SFO,WR,306,81.99560684
177,Tyler Conklin,13.8,25,77,68.45945946,62.04204204,MIN,TE,306,88.19778512
178,Antonio Brown,16.1,72,79,37.35576923,26.26137271,TAM,WR,309,78.4444732
179,Olamide Zaccheaus,20.5,33,59,83.17857143,95.45054945,ATL,WR,313,80.15936248
180,Jonnu Smith,104.7,99,39,73.42465753,81.3256541,NWE,TE,315,70.1337249
181,Nick Westbrook-Ikhine,0,5,70,80.84210526,40.94736842,TEN,WR,317.5,81.42236111
182,Byron Pringle,35,28,85,95.5,87.66031746,KAN,WR,318,87.11712984
183,Bryan Edwards,0,25,75,98.75268817,62.76371657,LVR,WR,318,84.10856054
184,Cam Sims,4.7,54,34,81.05263158,71.81754386,WAS,WR,319,68.19158814
185,Jaelon Darden,0,0,5,27,9,TAM,WR,322,51.12051811
186,Josh Gordon,73.7,0,9,20.84210526,28.15457563,KAN,WR,323,50.04777358
187,N'Keal Harry,39.4,41,16,64.94117647,47.88409586,NWE,WR,324,57.78214672
188,Jake Kumerow,39.9,8,3,52.5,71.61111111,BUF,WR,331,49.21229549
189,Zack Moss,0,88,82,55.5546875,37.88489583,BUF,RB,334,71.83510596
190,Jake Funk,0,0,1,25,8.333333333,LAR,RB,335,42.98366841
191,Emmanuel Sanders,188.3,104,90,81.1754386,81.69002386,BUF,WR,336,76.19434562
192,Devontae Booker,12.6,69,104,72.75789474,80.1122807,NYG,RB,337,78.25761784
193,Marquise Goodwin,38.1,0,37,73.03333333,42.70808081,CHI,WR,338,58.18352451
194,Cole Beasley,180.8,126,77,57.2371134,67.42582803,BUF,WR,339,71.17105713
195,Nelson Agholor,92,138,66,72.32673267,73.85967063,NWE,WR,341,63.38559828
196,Devonta Freeman,197.6,29,113,70.58285714,49.23878211,BAL,RB,342,77.12471413
197,Zach Pascal,133.3,93,57,61.00934579,79.37946514,IND,WR,344,61.02589674
198,T.Y. Hilton,125.1,108,51,55.66666667,59.22006428,IND,WR,348,52.57180408
199,Jordan Howard,111.4,30,61,32.92307692,29.99071932,PHI,RB,351,48.86754666
200,Latavius Murray,157.2,113,94,61.72727273,69.68316703,BAL,RB,355,62.33869981
201,Tommy Tremble,0,0,33,56.14545455,18.71515152,CAR,TE,356,46.47932478
202,Jaret Patterson,0,0,46,73.37974684,24.45991561,WAS,RB,357,52.05076314
203,Quez Watkins,0,17,73,105.4,45.83333333,PHI,WR,362,63.38090702
204,Dan Arnold,32.7,66,41,51.5862069,57.98567343,2TM,TE,364,44.65215315
205,Tre'Quan Smith,71.4,69,56,50.97560976,62.64949266,NOR,WR,365,47.75707838
206,Giovani Bernard,68.4,111,36,59.67567568,64.98114508,TAM,RB,367,42.70291068
207,Jared Cook,167.5,90,84,69.3740458,80.31673997,LAC,TE,369,56.90842691
208,Derrick Gore,0,0,48,66.55,22.18333333,KAN,RB,371,43.44274321
209,Kalif Raymond,29.5,18,84,81.74789916,86.66199813,DET,WR,373,58.23716292
210,Brandon Bolden,50.9,0,83,115.8924731,73.82313207,NWE,RB,375,58.60662426
211,Tevin Coleman,135.4,9,41,44.55,42.30744874,NYJ,RB,377,35.63773584
212,Ty Johnson,60.2,47,83,84.68965517,70.41475503,NYJ,RB,379,55.42036273
213,Breshad Perriman,138.1,69,22,34.13793103,63.86819923,TAM,WR,380,27.97505284
214,Juwan Johnson,0,4,40,65.2,28.23333333,NOR,TE,386,35.81078942
215,Dyami Brown,0,0,16,65.27027027,21.75675676,WAS,WR,390,27.13716838
216,Darius Slayton,170,91,43,50.76190476,70.87192868,NYG,WR,391,32.83985455
217,Benny Snell Jr.,0,65,11,47.175,34.19966667,PIT,RB,394,21.49748178
218,Anthony McFarland Jr.,0,17,1,7,16.91269841,PIT,RB,395,11.31140818
219,Equanimeous St. Brown,0,18,11,56,43.66666667,GNB,WR,397,21.24397317
220,Kene Nwangwu,0,0,19,42.77777778,14.25925926,MIN,RB,399,17.18095407
221,Pharaoh Brown,4.7,28,15,45,55.03333333,HOU,TE,404,17.78567711
0,Josh Allen,282.56,395,403,261.3529412,247.3259804,BUF,QB,22.8,275.4096851
1,Justin Herbert,0,333,381,297.1764706,196.103268,LAC,QB,37.8,297.1764706
2,Lamar Jackson,415.68,333,240,241.5,212.6333333,BAL,QB,49.3,241.5
3,Joe Burrow,0,174,314,290.3125,186.8041667,CIN,QB,56.5,290.3125
4,Kyler Murray,279.28,379,300,272.2142857,251.9672619,ARI,QB,59.3,246.9273024
5,Jalen Hurts,0,108,312,210.6666667,93.93333333,PHI,QB,66.8,210.6666667
6,Dak Prescott,335.78,135,321,280.375,320.5416667,DAL,QB,76,280.375
7,Russell Wilson,326.6,360,243,224.1428571,249.5684524,SEA,QB,77.3,224.1428571
8,Tom Brady,261.68,338,375,315.2352941,287.4534314,TAM,QB,82.3,315.2352941
9,Matthew Stafford,166.56,261,330,289.8235294,287.1495098,LAR,QB,86.8,246.1335115
10,Aaron Rodgers,272.38,382,332,259.5,260.9791667,GNB,QB,92.8,275.3417153
11,Trey Lance,0,0,65,101.3333333,33.77777778,SFO,QB,103.8,101.3333333
12,Derek Carr,244.36,272,257,283.9411765,265.5845588,LVR,QB,110.3,251.7417069
13,Kirk Cousins,242.42,306,300,265.875,258.8527778,MIN,QB,115.5,265.875
14,Tua Tagovailoa,0,135,181,205.3076923,129.2692308,MIA,QB,132.5,205.3076923
15,Justin Fields,0,0,127,156.4166667,52.13888889,CHI,QB,146.3,156.4166667
16,Trevor Lawrence,0,0,199,214.8823529,71.62745098,JAX,QB,159.8,214.8823529
17,Matt Ryan,265.34,282,223,234.5882353,273.9974673,ATL,QB,167.5,234.5882353
18,Mac Jones,0,0,225,224.8823529,74.96078431,NWE,QB,168,219.3264399
19,Jameis Winston,297.36,2,117,169.1428571,169.7559524,NOR,QB,176.3,169.1428571
20,Ryan Tannehill,222.18,343,268,220.8823529,230.6552288,TEN,QB,187.3,220.8823529
21,Carson Wentz,271.86,198,258,211.1764706,228.3227124,IND,QB,188,211.1764706
22,Baker Mayfield,227.18,248,181,216.2142857,227.0297619,CLE,QB,198.3,215.2276702
23,Davis Mills,0,0,157,206.1538462,68.71794872,HOU,QB,205,206.1538462
24,Jared Goff,247.52,240,195,233.1428571,263.0642857,DET,QB,212.5,233.1428571
25,Taysom Hill,102.2,149,118,81.83333333,47.84027778,NOR,QB,222,81.83333333
26,Zach Wilson,0,0,152,180.2307692,60.07692308,NYJ,QB,227.3,180.2307692
27,Jimmy Garoppolo,243.32,64,228,255.3333333,229.8263889,SFO,QB,235,255.3333333
28,Daniel Jones,210.98,180,167,221.6363636,222.4428904,NYG,QB,240,212.7301263
29,Marcus Mariota,85.02,26,15,0.4,133.4190476,LVR,QB,269,0.4
30,Jacoby Brissett,215.68,21,72,117.0909091,105.3232323,MIA,QB,274,124.1827642
31,Geno Smith,0,1,54,176.75,69.91666667,SEA,QB,327,137.2074931
32,Tyler Huntley,0,3,83,154.8571429,54.11904762,BAL,QB,343,154.8571429
33,Drew Lock,68,181,51,131.5,187.9153846,DEN,QB,359,116.1436253
34,Sam Darnold,183.16,134,157,211.3333333,210.0534188,CAR,QB,378,211.3333333
35,Andy Dalton,199.66,136,84,190.375,219.6401515,CHI,QB,388,167.2477337
36,Jordan Love,0,0,21,68.83333333,22.94444444,GNB,QB,402,68.83333333
37,Patrick Mahomes,285.04,374,362,286.8235294,298.380859,KAN,QB,35.5,286.8235294
38,Taylor Heinicke,0,12,222,214.9375,117.6458333,WAS,QB,0,214.9375
39,Ben Roethlisberger,12.74,267,218,235.125,222.1194444,PIT,QB,0,235.125
40,Teddy Bridgewater,90.46,241,203,219.2857143,207.9767196,DEN,QB,0,211.5962007
41,Trevor Siemian,0.12,0,90,194.1666667,65.72222222,NOR,QB,0,194.1666667
42,Cam Newton,16.68,259,86,86,183.2222222,CAR,QB,0,86
43,Tyrod Taylor,6.02,9,82,161.8333333,90.02777778,HOU,QB,0,161.8333333
44,Josh Johnson,0,0,46,160.75,53.58333333,2TM,QB,0,160.75
45,Mike White,0,0,44,239.5,79.83333333,NYJ,QB,0,168.6883626
46,Colt McCoy,4.28,18,41,92.875,102.9583333,ARI,QB,0,92.875
47,Gardner Minshew II,0,160,34,110.75,121.1759259,PHI,QB,0,110.75
48,Mike Glennon,4.24,61,31,132.3333333,125.5444444,NYG,QB,0,132.3333333
49,Case Keenum,103.48,2,29,66.42857143,87.07619048,CLE,QB,0,84.75713009
50,Tim Boyle,-0.1,-1,24,105.8,36.93333333,DET,QB,0,105.8
51,Joe Flacco,82.88,55,24,170.5,191,NYJ,QB,0,170.5
52,Cooper Rush,0,0,24,85,28.33333333,DAL,QB,0,85
53,Mason Rudolph,108.8,18,18,139,127.3333333,PIT,QB,0,137.6740856
54,Nick Foles,35.74,104,17,251,214.212963,CHI,QB,0,251
55,Brandon Allen,32.5,50,14,25.16666667,127.9444444,CIN,QB,0,25.16666667
56,P.J. Walker,0,0,14,72.6,24.2,CAR,QB,0,50.9877381
57,Sean Mannion,-1.46,0,13,190,77.33333333,MIN,QB,0,190
58,Brian Hoyer,21.08,2,12,45.6,89.86666667,NWE,QB,0,45.6
59,Jake Fromm,0,0,11,70.33333333,23.44444444,NYG,QB,0,70.33333333
60,Nick Mullens,-0.3,116,10,148,130.9666667,CLE,QB,0,148
61,Kyle Allen,177.48,45,8,60.5,156.9487179,WAS,QB,0,60.5
62,Garrett Gilbert,-0.3,15,8,194,146,WAS,QB,0,194
63,Mitchell Trubisky,200.82,154,8,7.166666667,141.5333333,BUF,QB,0,7.166666667
64,Chad Henne,0,24,3,20.5,34.61111111,KAN,QB,0,20.5
65,C.J. Beathard,0,52,2,16.5,49.55555556,JAX,QB,0,16.5
66,Ian Book,0,0,2,135,45,NOR,QB,0,135
67,Blaine Gabbert,0,15,2,11.16666667,15.80555556,TAM,QB,0,9.679833333
68,Chris Streveler,0,8,2,18,13.06666667,ARI,QB,0,18
69,David Blough,55.36,2,1,0,82.2,DET,QB,0,42.52441667
70,Sam Ehlinger,0,0,1,0,0,IND,QB,0,14.12358333
71,Ryan Fitzpatrick,239.46,153,1,13,161.1259259,WAS,QB,0,13
72,Kurt Benkert,0,0,0,0,0,GNB,QB,0,0
73,Chase Daniel,26,12,0,0,70.75,LAC,QB,0,0
74,Kellen Mond,0,0,0,5,1.666666667,MIN,QB,0,5
75,Nathan Peterman,0,2,0,0,8.333333333,LVR,QB,0,5.523333333
76,Brett Rypien,0,11,0,0,33,DEN,QB,0,0
77,Davis Webb,0,0,0,0,0,BUF,QB,0,0
78,Jacob Eason,0,0,-1,25,8.333333333,IND,QB,0,25
79,Feleipe Franks,0,0,-1,0,0,ATL,QB,0,0
80,Logan Woodside,0,1,-1,0,0.388888889,TEN,QB,0,0
81,John Wolford,0,13,-2,1.666666667,77.55555556,LAR,QB,0,1.666666667
82,Josh Rosen,17.98,0,-3,4.75,33.13888889,ATL,QB,0,4.75
0,Breece Hall,0,0,176.8,0,0,NYJ,RB,43,197.721
1,Drake London,0,0,113.5,0,0,ATL,WR,110.8,199.85
2,Ken Walker III,0,0,105.6,0,0,SEA,RB,87.8,207.4
3,Treylon Burks,0,0,116.2,0,0,TEN,WR,123,195.1
4,Jameson Williams,0,0,70.3,0,0,DET,WR,167,150.15
5,Garrett Wilson,0,0,97.6,0,0,NYJ,WR,137.3,183.0375
6,Chris Olave,0,0,98.5,0,0,NO,WR,122.3,186.6
