,Draft Order,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
25,25,James Conner,145.5,130.0,221.0,71.2655601659751,58.637609330829406,ARI,RB,31.8,252.7787610113975
26,26,Leonard Fournette,259.4,96.0,187.0,67.66666666666667,63.76426940639269,TAM,RB,23.0,251.98330960492845
27,27,Derek Carr,244.36,272.0,257.0,283.9411765,265.5845588,LVR,QB,110.3,251.7417069
28,28,Ezekiel Elliott,311.7,172.0,205.0,73.23509933774834,71.12086516583419,DAL,RB,29.8,251.73182706815544
29,29,Nick Foles,35.74,104.0,17.0,251.0,214.212963,CHI,QB,0.0,251.0
30,30,Aaron Jones,314.8,212.0,177.0,76.27118644067797,79.07524396507448,GNB,RB,17.5,250.88050179656105
31,31,Dalvin Cook,292.4,294.0,172.0,60.59395973154362,69.72421783121847,MIN,RB,7.8,249.7391940898613
32,32,Alvin Kamara,248.52,295.0,188.0,56.99674267100977,71.32722166604987,NOR,RB,19.3,248.29342381804452
33,33,Javonte Williams,0.0,0.0,162.0,81.4140625,27.13802083333333,DEN,RB,20.0,247.3134134226512
34,34,Derrick Henry,294.6,314.0,175.0,36.85355648535565,67.39717519177557,TEN,RB,3.8,247.27028526910868
35,35,Kyler Murray,279.28,379.0,300.0,272.2142857,251.9672619,ARI,QB,59.3,246.9273024
36,36,Matthew Stafford,166.56,261.0,330.0,289.8235294,287.1495098,LAR,QB,86.8,246.1335115
37,37,D'Andre Swift,0.0,144.0,147.0,61.08296943231441,42.86391378737966,DET,RB,14.5,245.2232497272848
38,38,Keenan Allen,261.5,145.0,152.0,69.59695817490494,67.81261042020977,LAC,WR,29.0,244.2661905684629
39,39,Antonio Gibson,0.0,166.0,187.0,69.21290322580646,46.03358456436539,WAS,RB,38.0,243.2026517049993
40,40,Diontae Johnson,157.1,134.0,167.0,70.84057971014492,69.6222899863534,PIT,WR,43.0,242.63707207367315
41,41,Tee Higgins,0.0,128.0,145.0,83.46739130434783,56.53103519668738,CIN,WR,30.8,242.5050807216317
42,42,Michael Pittman Jr.,0.0,59.0,151.0,88.68202764976958,52.29994981064928,IND,WR,37.5,242.32101460186888
43,43,Lamar Jackson,415.68,333.0,240.0,241.5,212.6333333,BAL,QB,49.3,241.5
44,44,Mike Williams,161.3,106.0,171.0,90.14634146341464,94.8464761658489,LAC,WR,49.3,241.2644055646421
45,45,Josh Jacobs,191.6,198.0,172.0,65.6049822064057,63.85669568905862,LVR,RB,44.3,235.7015565279177
46,46,Jaylen Waddle,0.0,0.0,142.0,67.21311475409836,22.40437158469945,MIA,WR,41.5,235.3103938379694
47,47,Ben Roethlisberger,12.74,267.0,218.0,235.125,222.1194444,PIT,QB,0.0,235.125
48,48,Terry McLaurin,191.9,137.0,137.0,87.8743961352657,83.97291533996535,WAS,WR,41.3,235.10322705908573
49,49,Matt Ryan,265.34,282.0,223.0,234.5882353,273.9974673,ATL,QB,167.5,234.5882353
50,50,David Montgomery,170.4,211.0,153.0,54.4963768115942,63.07417477010163,CHI,RB,33.5,234.34997828828173
51,51,Jared Goff,247.52,240.0,195.0,233.1428571,263.0642857,DET,QB,212.5,233.1428571
52,52,Christian McCaffrey,469.2,73.0,91.0,39.35,47.96204351204352,CAR,RB,4.0,233.06302977603107
53,53,A.J. Brown,217.1,178.0,118.0,68.4047619047619,95.51861047449285,TEN,WR,28.5,232.8518926499125
54,54,Damien Harris,1.2,86.0,192.0,72.37668161434978,43.37093090848696,NWE,RB,60.8,232.1619270186418
55,55,George Kittle,222.5,77.0,127.0,79.41818181818181,68.41041496041495,SFO,TE,42.8,231.09308859727383
56,56,Saquon Barkley,244.1,9.0,108.0,51.05022831050229,40.9065621461937,NYG,RB,21.3,230.67124616744948
57,57,AJ Dillon,0.0,38.0,152.0,85.22767857142857,48.65228174603175,GNB,RB,58.8,226.62134784329413
58,58,Chris Godwin,274.1,126.0,144.0,70.3111111111111,76.61007467928974,TAM,WR,65.5,225.78593422796632
59,59,Brandin Cooks,117.5,151.0,142.0,76.0,80.3093567251462,HOU,WR,62.0,225.18131751423232
60,60,Russell Wilson,326.6,360.0,243.0,224.1428571,249.5684524,SEA,QB,77.3,224.1428571
61,61,Elijah Mitchell,0.0,0.0,146.0,53.59471365638766,17.86490455212922,SFO,RB,45.5,222.6164720632452
62,62,Hunter Renfrow,133.5,76.0,156.0,77.27272727272728,74.13520733652312,LVR,WR,81.3,222.59072176970656
63,63,Marquise Brown,146.4,125.0,135.0,68.79324894514768,72.7653359298929,BAL,WR,62.5,221.9973341793984
64,64,Cordarrelle Patterson,29.6,48.0,183.0,84.82882882882883,79.32540604054152,ATL,RB,87.0,221.52955698598456
65,65,Amari Cooper,246.5,145.0,135.0,76.13372093023256,85.00116660000381,DAL,WR,65.0,221.4333006085696
66,66,Ryan Tannehill,222.18,343.0,268.0,220.8823529,230.6552288,TEN,QB,187.3,220.8823529
67,67,Dalton Schultz,1.6,84.0,131.0,76.21978021978022,57.792558318874114,DAL,TE,64.8,220.3134679510948
68,68,Darnell Mooney,0.0,91.0,139.0,84.0,49.97064989517819,CHI,WR,76.0,219.8960105284784
69,69,Amon-Ra St. Brown,0.0,0.0,137.0,79.63157894736841,26.543859649122805,DET,WR,72.0,219.4504285809644
70,70,Mac Jones,0.0,0.0,225.0,224.8823529,74.96078431,NWE,QB,168.0,219.3264399
71,71,Devin Singletary,147.9,106.0,158.0,79.0,71.40675566343042,BUF,RB,80.0,216.29456596046447
72,72,Tyler Lockett,235.2,165.0,168.0,105.95555555555556,89.22273307790549,SEA,WR,98.8,215.7956065266229
73,73,Baker Mayfield,227.18,248.0,181.0,216.2142857,227.0297619,CLE,QB,198.3,215.2276702
74,74,Taylor Heinicke,0.0,12.0,222.0,214.9375,117.6458333,WAS,QB,0.0,214.9375
75,75,Trevor Lawrence,0.0,0.0,199.0,214.8823529,71.62745098,JAX,QB,159.8,214.8823529
76,76,Courtland Sutton,222.42,7.0,92.0,84.78205128205128,61.5894819466248,DEN,WR,60.0,213.3959278022952
77,77,Daniel Jones,210.98,180.0,167.0,221.6363636,222.4428904,NYG,QB,240.0,212.7301263
78,78,Teddy Bridgewater,90.46,241.0,203.0,219.2857143,207.9767196,DEN,QB,0.0,211.5962007
79,79,Sam Darnold,183.16,134.0,157.0,211.3333333,210.0534188,CAR,QB,378.0,211.3333333
80,80,Carson Wentz,271.86,198.0,258.0,211.1764706,228.3227124,IND,QB,188.0,211.1764706
81,81,Jalen Hurts,0.0,108.0,312.0,210.6666667,93.93333333,PHI,QB,66.8,210.6666667
82,82,Adam Thielen,114.4,180.0,133.0,59.22222222222222,64.36833536833537,MIN,WR,73.8,210.3948696569581
83,83,Darren Waller,221.0,172.0,79.0,49.57432432432432,71.73434459304025,LVR,TE,46.8,210.1376615722548
84,84,Ken Walker III,0.0,0.0,105.6,0.0,0.0,SEA,RB,87.8,207.4000000000001
85,85,Dallas Goedert,144.7,70.0,109.0,94.77272727272728,70.10276577517958,PHI,TE,79.0,206.8356765858614
86,86,Gabriel Davis,0.0,102.0,91.0,90.6122448979592,63.523669261519046,BUF,WR,71.8,206.50462962969036
87,87,DeVonta Smith,0.0,0.0,122.0,93.19642857142856,31.06547619047619,PHI,WR,90.5,206.48174829360488
88,88,Davis Mills,0.0,0.0,157.0,206.1538462,68.71794872,HOU,QB,205.0,206.1538462
89,89,Tony Pollard,87.2,93.0,124.0,90.17045454545456,80.65102398939212,DAL,RB,84.5,205.4086501739106
90,90,Tua Tagovailoa,0.0,135.0,181.0,205.3076923,129.2692308,MIA,QB,132.5,205.3076923
91,91,Clyde Edwards-Helaire,0.0,140.0,99.0,45.91549295774648,35.68105084407152,KAN,RB,63.3,204.07669202855976
92,92,Brandon Aiyuk,0.0,125.0,114.0,102.97142857142858,55.65714285714287,SFO,WR,98.8,202.5432489235624
93,93,Miles Sanders,216.7,142.0,91.0,64.0,70.5255586164677,PHI,RB,70.3,201.38232354084863
94,94,T.J. Hockenson,80.7,108.0,84.0,48.57931034482758,55.55574081091322,DET,TE,64.8,201.1898282743198
95,95,Dawson Knox,79.7,43.0,115.0,75.0,67.6945701357466,BUF,TE,90.5,200.92513889505085
96,96,Drake London,0.0,0.0,113.5,0.0,0.0,ATL,WR,110.8,199.84999999999997
97,97,Rashaad Penny,75.3,3.0,116.0,63.22834645669292,44.2108842255962,SEA,RB,81.3,198.53688108681507
98,98,Christian Kirk,166.2,98.0,131.0,94.25555555555556,74.38820057530687,ARI,WR,112.8,197.9983434037841
99,99,Breece Hall,0.0,0.0,176.8,0.0,0.0,NYJ,RB,43.0,197.72099999999995
100,100,DeAndre Hopkins,266.54,173.0,105.0,54.71698113207548,69.08722086411582,ARI,WR,85.5,196.95579719354424
101,101,Zach Ertz,213.6,42.0,107.0,70.55913978494624,55.59976640896647,2TM,TE,97.0,196.82186976523224
102,102,Elijah Moore,0.0,0.0,95.0,54.81666666666667,18.272222222222226,NYJ,WR,85.3,195.5812846792085
103,103,James Robinson,0.0,201.0,143.0,66.46666666666667,44.30666666666667,JAX,RB,111.8,195.19343113693543
104,104,Treylon Burks,0.0,0.0,116.2,0.0,0.0,TEN,WR,123.0,195.1
105,105,Chase Edmonds,82.8,115.0,100.0,64.2603550295858,71.31964659773708,ARI,RB,89.0,194.8753721481937
106,106,Jerry Jeudy,0.0,106.0,47.0,50.0,44.43232323232324,DEN,WR,60.5,194.72080115623896
107,107,Trevor Siemian,0.12,0.0,90.0,194.1666667,65.72222222,NOR,QB,0.0,194.1666667
108,108,Garrett Gilbert,-0.3,15.0,8.0,194.0,146.0,WAS,QB,0.0,194.0
109,109,James Cook,0.0,0.0,100.3,0.0,0.0,BUF,RB,110.5,193.4
110,110,Chase Claypool,0.0,153.0,108.0,87.6219512195122,57.27749251176723,PIT,WR,116.0,190.2463544273075
111,111,Sean Mannion,-1.46,0.0,13.0,190.0,77.33333333,MIN,QB,0.0,190.0
112,112,Michael Carter,0.0,0.0,118.0,67.08910891089108,22.363036303630363,NYJ,RB,108.5,189.4356833997834
113,113,Kareem Hunt,101.4,181.0,88.0,43.04761904761905,53.42375742708108,CLE,RB,79.8,189.29057283840348
114,114,Allen Lazard,102.8,65.0,103.0,82.95,78.2360613996799,GNB,WR,110.8,189.1536668745414
115,115,Rhamondre Stevenson,0.0,0.0,101.0,58.33112582781457,19.44370860927152,NWE,RB,97.5,188.18683627287717
116,116,Chris Olave,0.0,0.0,98.5,0.0,0.0,NO,WR,122.3,186.6
117,117,Russell Gage,98.8,109.0,97.0,67.725,66.0207171091048,ATL,WR,113.8,186.461467952266
118,118,Cam Akers,0.0,91.0,1.0,1.625,21.009171907756816,LAR,RB,32.3,186.3114079874534
119,119,Rashod Bateman,0.0,0.0,58.0,54.31578947368421,18.105263157894736,BAL,WR,86.5,185.49745332697935
120,120,Mike Gesicki,136.0,106.0,92.0,71.85945945945946,71.5463208550165,MIA,TE,113.5,184.6537996525002
121,121,Robert Woods,232.9,155.0,92.0,47.92105263157895,70.07400789965182,LAR,WR,105.3,183.17765324925955
122,122,Garrett Wilson,0.0,0.0,97.6,0.0,0.0,NYJ,WR,137.3,183.0375
123,123,Alexander Mattison,68.4,74.0,94.0,66.86705202312139,65.31526680478993,MIN,RB,115.3,183.01174551680543
124,124,Dameon Pierce,0.0,0.0,100.3,0.0,0.0,HOU,RB,131.8,182.05999999999992
125,125,Tyler Boyd,222.9,114.0,117.0,84.96894409937889,76.04100190800958,CIN,WR,139.5,180.56244361179623
126,126,Zach Wilson,0.0,0.0,152.0,180.2307692,60.07692308,NYJ,QB,227.3,180.2307692
127,127,Pat Freiermuth,0.0,0.0,92.0,58.01438848920864,19.33812949640288,PIT,TE,122.0,179.2968542926075
128,128,Isaiah Spiller,0.0,0.0,82.7,0.0,0.0,LAC,RB,130.3,174.70000000000033
129,129,Ronald Jones II,0.0,158.0,69.0,69.6140350877193,46.15909431698905,TAM,RB,114.0,174.41589418698888
130,130,Nyheim Hines,105.9,130.0,73.0,88.61061946902655,82.88636810583714,IND,RB,132.3,171.63838327688748
131,131,Darrel Williams,67.8,37.0,149.0,86.09950248756219,72.9665008291874,KAN,RB,173.5,171.022212084533
132,132,Jakobi Meyers,61.9,84.0,103.0,71.33492822966507,75.16935418600775,NWE,WR,153.3,170.83206414662394
133,133,Joe Flacco,82.88,55.0,24.0,170.5,191.0,NYJ,QB,0.0,170.5
134,134,JuJu Smith-Schuster,113.2,137.0,20.0,16.16279069767442,45.12013658176448,PIT,WR,78.3,169.28968722711895
135,135,Jameis Winston,297.36,2.0,117.0,169.1428571,169.7559524,NOR,QB,176.3,169.1428571
136,136,Mike White,0.0,0.0,44.0,239.5,79.83333333,NYJ,QB,0.0,168.6883626
137,137,Skyy Moore,0.0,0.0,86.9,0.0,0.0,KC,WR,147.3,168.2999999999997
138,138,Andy Dalton,199.66,136.0,84.0,190.375,219.6401515,CHI,QB,388.0,167.2477337
139,139,Kenneth Gainwell,0.0,0.0,90.0,74.57627118644068,24.858757062146893,PHI,RB,147.3,166.09685199984278
140,140,Jarvis Landry,237.4,116.0,81.0,53.00719424460432,71.06909439100565,CLE,WR,141.3,165.77578098103635
141,141,Rachaad White,0.0,0.0,77.5,0.0,0.0,TB,RB,143.0,165.75
142,142,J.D. McKissic,83.8,111.0,85.0,66.76237623762377,77.6951510535669,WAS,RB,144.5,165.70683188703697
143,143,Hunter Henry,148.2,85.0,114.0,83.232,66.62424081557984,NWE,TE,168.5,164.5574131234869
144,144,Tyler Allgeier,0.0,0.0,81.5,0.0,0.0,ATL,RB,149.5,164.5
145,145,Brian Robinson Jr.,0.0,0.0,107.0,0.0,0.0,WAS,RB,177.0,163.5
146,146,Van Jefferson,0.0,28.0,118.0,101.26618705035972,57.22206235011991,LAR,WR,182.3,162.670132604851
147,147,Kadarius Toney,0.0,0.0,43.0,44.375,14.791666666666666,NYG,WR,121.8,162.2990939524488
148,148,Tyrod Taylor,6.02,9.0,82.0,161.8333333,90.02777778,HOU,QB,0.0,161.8333333
149,149,Cole Kmet,0.0,34.0,61.0,68.0,40.59259259259259,CHI,TE,145.3,161.17677068768631
150,150,Mecole Hardman,113.5,87.0,82.0,88.7112676056338,105.03620044179485,KAN,WR,164.5,161.08120813696053
151,151,Josh Johnson,0.0,0.0,46.0,160.75,53.58333333,2TM,QB,0.0,160.75
152,152,Sony Michel,152.6,68.0,125.0,68.98755186721992,62.49192087549937,LAR,RB,175.0,160.46162423934055
153,153,George Pickens,0.0,0.0,87.6,0.0,0.0,PIT,WR,164.3,159.96849999999972
154,154,Jalen Tolbert,0.0,0.0,87.9,0.0,0.0,DAL,WR,174.8,159.35049999999976
155,155,Marquez Valdes-Scantling,84.1,104.0,61.0,58.80246913580247,89.10353307236777,GNB,WR,141.8,157.25911248334302
156,156,Justin Fields,0.0,0.0,127.0,156.4166667,52.13888889,CHI,QB,146.3,156.4166667
157,157,Noah Fant,111.0,87.0,91.0,68.25316455696202,72.38140583629308,DEN,TE,172.8,156.07092026063688
158,158,Jahan Dotson,0.0,0.0,88.6,0.0,0.0,WAS,WR,173.5,156.04999999999973
159,159,Jamaal Williams,146.3,96.0,94.0,54.65745856353591,62.839168803475296,DET,RB,162.5,155.97540153211145
160,160,Tyler Huntley,0.0,3.0,83.0,154.8571429,54.11904762,BAL,QB,343.0,154.8571429
161,161,Kenny Golladay,248.0,46.0,52.0,64.54867256637168,67.80224203834433,NYG,WR,150.5,154.57168959593452
162,162,Christian Watson,0.0,0.0,72.5,0.0,0.0,GB,WR,160.8,154.35000000000025
163,163,DeVante Parker,246.2,103.0,64.0,45.75221238938053,69.94969328642001,MIA,WR,151.5,154.31339887348008
164,164,Albert Okwuegbunam,0.0,18.0,43.0,63.67123287671232,27.4801545486477,DEN,TE,148.3,153.54349607453932
165,165,Khalil Herbert,0.0,0.0,65.0,75.85714285714286,25.28571428571429,CHI,RB,160.3,151.74228202530728
166,166,Alec Pierce,0.0,0.0,76.7,0.0,0.0,IND,WR,189.5,151.1785
167,167,Jameson Williams,0.0,0.0,70.3,0.0,0.0,DET,WR,167.0,150.14999999999975
168,168,David Njoku,15.1,33.0,72.0,86.29213483146067,51.90710049937578,CLE,TE,175.5,148.8987048157954
169,169,Julio Jones,274.1,95.0,49.0,55.063291139240505,65.15219167176365,TEN,WR,156.5,148.26849833148108
170,170,Rondale Moore,0.0,0.0,55.0,60.74576271186441,20.24858757062147,ARI,WR,165.8,148.07747005688788
171,171,Nick Mullens,-0.3,116.0,10.0,148.0,130.9666667,CLE,QB,0.0,148.0
172,172,K.J. Osborn,0.0,0.0,109.0,86.54545454545455,28.848484848484848,MIN,WR,204.0,147.3869203195897
173,173,Michael Gallup,212.7,114.0,57.0,41.47422680412371,70.41873781693526,DAL,WR,160.5,146.6798189527604
174,174,Chuba Hubbard,0.0,0.0,113.0,64.42105263157895,21.473684210526315,CAR,RB,201.3,143.1033021710995
175,175,D'Onta Foreman,0.0,16.0,85.0,43.25,23.19927536231884,TEN,RB,180.0,142.93733704196265
176,176,Gerald Everett,89.8,52.0,70.0,67.83783783783784,62.72811656617082,SEA,TE,194.5,138.64359827128692
177,177,Mason Rudolph,108.8,18.0,18.0,139.0,127.3333333,PIT,QB,0.0,137.6740856
178,178,Corey Davis,115.1,126.0,71.0,48.0,72.31667045799212,NYJ,WR,189.0,137.46202109255
179,179,Geno Smith,0.0,1.0,54.0,176.75,69.91666667,SEA,QB,327.0,137.2074931
180,180,Marlon Mack,179.3,6.0,11.0,19.818181818181817,30.148989898989896,IND,RB,145.0,136.46527040995545
181,181,Donovan Peoples-Jones,0.0,44.0,76.0,91.30434782608695,66.43478260869564,CLE,WR,210.0,135.95169030393947
182,182,Sammy Watkins,136.5,50.0,43.0,67.56578947368422,60.56704107175472,BAL,WR,183.0,135.00919719745806
183,183,Ian Book,0.0,0.0,2.0,135.0,45.0,NOR,QB,0.0,135.0
184,184,Raheem Mostert,165.2,84.0,2.0,10.0,50.34422457432121,SFO,RB,141.0,134.48929339980228
185,185,Tyler Higbee,160.4,84.0,86.0,58.04794520547946,68.0086383401582,LAR,TE,209.3,134.32228068560443
186,186,Kenyan Drake,212.2,167.0,73.0,63.84466019417475,64.6301372760539,LVR,RB,197.3,133.87252466722774
187,187,Myles Gaskin,31.4,123.0,125.0,61.44491525423729,46.70573453800855,MIA,RB,234.0,133.84689282792576
188,188,Mike Davis,11.9,148.0,94.0,66.43877551020408,53.2455492835432,ATL,RB,218.5,132.80405920242956
189,189,Mike Glennon,4.24,61.0,31.0,132.3333333,125.5444444,NYG,QB,0.0,132.3333333
190,190,Kendrick Bourne,95.8,81.0,126.0,126.48,95.51728411338168,NWE,WR,254.0,131.6878232356435
191,191,Evan Engram,109.4,78.0,57.0,51.42857142857142,49.64728682170542,NYG,TE,195.3,130.81806896087065
192,192,Zamir White,0.0,0.0,61.9,0.0,0.0,LV,RB,198.8,130.0499999999998
193,193,D'Ernest Johnson,15.2,18.0,85.0,91.664,101.10667321867322,CLE,RB,222.3,129.67931520577545
194,194,Odell Beckham Jr.,0.0,64.0,85.0,61.77777777777778,34.55723905723906,2TM,WR,222.0,128.89543043285926
195,195,Cedrick Wilson Jr.,0.0,35.0,103.0,93.43396226415096,52.35946890286513,DAL,WR,240.0,128.3501288395794
196,196,Cameron Brate,91.1,40.0,49.0,48.65517241379311,59.11003679301788,TAM,TE,196.5,128.11834704563574
197,197,Marquez Callaway,0.0,21.0,106.0,92.06153846153846,46.95801282051283,NOR,WR,246.0,127.94402358408075
198,198,Romeo Doubs,0.0,0.0,53.1,0.0,0.0,GB,WR,194.5,127.7999999999998
199,199,A.J. Green,0.0,64.0,103.0,93.26027397260276,49.62980434848348,ARI,WR,247.7,125.15726606977027
200,200,Tyrion Davis-Price,0.0,0.0,44.4,0.0,0.0,SF,RB,192.5,124.45000000000016
201,201,Jacoby Brissett,215.68,21.0,72.0,117.0909091,105.3232323,MIA,QB,274.0,124.1827642
202,202,Jamison Crowder,197.7,113.0,59.0,44.16393442622951,56.633743907842266,NYJ,WR,209.7,123.89253792326616
203,203,Robert Tonyan,26.0,125.0,32.0,35.06382978723404,55.185961280429375,GNB,TE,185.3,123.80764696115386
204,204,Wan'Dale Robinson,0.0,0.0,58.3,0.0,0.0,NYG,WR,210.3,122.5
205,205,Boston Scott,96.9,71.0,86.0,71.92233009708738,70.14269240784138,PHI,RB,231.5,122.13375559319124
206,206,Isiah Pacheco,0.0,0.0,52.3,0.0,0.0,KC,RB,215.0,117.14999999999978
207,207,Hayden Hurst,76.9,93.0,38.0,51.08771929824561,65.53004491906094,ATL,TE,212.7,117.11211117447846
208,208,Hassan Haskins,0.0,0.0,46.0,0.0,0.0,TEN,RB,209.0,117.0
209,209,Austin Hooper,189.7,68.0,55.0,56.24242424242424,55.12558220537371,CLE,TE,224.3,116.20366181607486
210,210,Drew Lock,68.0,181.0,51.0,131.5,187.9153846,DEN,QB,359.0,116.1436253
211,211,C.J. Uzomah,63.2,15.0,79.0,71.14285714285714,46.22489058467063,CIN,TE,249.0,114.7421582817512
212,212,Kyle Rudolph,111.7,37.0,34.0,63.50769230769231,64.65051576775714,NYG,TE,217.0,113.53096418726176
213,213,Laviska Shenault Jr.,0.0,99.0,64.0,64.78527607361963,45.30312122162017,JAX,WR,248.5,113.46497582087892
214,214,Devin Duvernay,0.0,33.0,50.0,64.8,53.02028985507246,BAL,WR,232.5,113.34023070470396
215,215,Gardner Minshew II,0.0,160.0,34.0,110.75,121.1759259,PHI,QB,0.0,110.75
216,216,Samaje Perine,1.6,55.0,56.0,82.6046511627907,61.31266149870802,CIN,RB,245.3,110.6076598972441
217,217,Jalen Guyton,0.0,69.0,66.0,98.22784810126582,65.77072848355446,LAC,WR,257.0,110.21353778905366
218,218,Nico Collins,0.0,0.0,51.0,67.29032258064515,22.43010752688172,HOU,WR,241.3,109.51870641241996
220,220,Trey Sermon,0.0,0.0,25.0,38.8,12.933333333333332,SFO,RB,216.0,108.18822452142666
221,221,Isaiah McKenzie,63.3,70.0,33.0,74.02173913043478,72.37088274044795,BUF,WR,235.7,106.89547591764382
222,222,Tim Boyle,-0.1,-1.0,24.0,105.8,36.93333333,DET,QB,0.0,105.8
223,223,Brevin Jordan,0.0,0.0,36.0,33.9375,11.3125,HOU,TE,233.0,104.32933144566572
224,224,Curtis Samuel,171.7,135.0,4.0,12.666666666666666,60.19388418998048,WAS,WR,206.0,102.5138335679326
225,225,David Bell,0.0,0.0,55.3,0.0,0.0,CLE,WR,248.5,101.89999999999982
227,227,Trey Lance,0.0,0.0,65.0,101.3333333,33.77777778,SFO,QB,103.8,101.3333333
228,228,Logan Thomas,39.3,105.0,36.0,27.76744186046512,50.30276700044141,WAS,TE,233.5,101.2442888856102
230,230,Phillip Lindsay,197.7,59.0,41.0,44.55913978494623,53.40696816360953,2TM,RB,249.0,99.6927166120546
231,231,Matt Breida,103.3,33.0,36.0,51.42857142857143,59.69708003141288,BUF,RB,248.7,98.99437073245544
233,233,Damien Williams,141.1,0.0,45.0,51.42857142857143,34.93114543114543,CHI,RB,252.0,97.3407320662902
236,236,Ke'Shawn Vaughn,0.0,18.0,33.0,56.72727272727273,32.24242424242424,TAM,RB,251.0,96.5533352317576
237,237,Dontrell Hilliard,38.1,5.0,54.0,42.829268292682926,49.77642276422764,TEN,RB,259.0,96.2179684512514
241,241,James Washington,133.5,69.0,42.0,66.17647058823529,76.4370430843005,PIT,WR,267.0,94.5575046347716
243,243,Adam Trautman,0.0,23.0,36.0,49.21428571428571,44.14669738863287,NOR,TE,262.0,93.69723115448002
248,248,Jerick McKinnon,0.0,93.0,23.0,69.0625,47.29379921259842,KAN,RB,255.7,93.3654160315788
249,249,Sterling Shepard,139.8,97.0,42.0,28.15730337078652,43.06525496974936,NYG,WR,256.0,93.22024555645793
250,250,Demarcus Robinson,100.9,63.0,44.0,68.77272727272727,74.7456394180532,KAN,WR,271.0,93.08805370792216
251,251,Colt McCoy,4.28,18.0,41.0,92.875,102.9583333,ARI,QB,0.0,92.875
252,252,KJ Hamler,0.0,60.0,7.0,14.8,26.29767441860465,DEN,WR,233.0,92.5583718267432
253,253,Foster Moreau,68.4,26.0,55.0,86.37837837837839,92.98844496670584,LVR,TE,282.0,92.51411392703577
256,256,Chris Evans,0.0,0.0,35.0,94.7058823529412,31.5686274509804,CIN,RB,276.0,91.27192433263208
257,257,Amari Rodgers,0.0,0.0,6.0,74.66666666666667,24.88888888888889,GNB,WR,255.0,90.75601975305295
259,259,Randall Cobb,154.9,62.0,66.0,68.23880597014926,70.46281735910941,GNB,WR,294.0,89.37763461232751
260,260,Terrace Marshall Jr.,0.0,0.0,16.0,38.17021276595744,12.723404255319148,CAR,WR,254.0,89.05975673853894
